,Splited_Hashtags,Count
2291,#salonetwitter,3
2294,#trent,3
9006,#motogp,3
683,#realtor,3
2515,#tournigeria,3
679,#instablog9ja,3
2143,#month,3
26,#jagaban,3
25,#asiwaju,3
2286,#sisitesse,3
3269,#financialservices,3
7748,#godbless,3
3518,#academia,3
3979,#unitedwestand,3
492,#money,3
5266,#hypotoiletcleaner,3
2578,#happyindependentday,3
2116,#chrislandschools,3
5265,#hypogowipeo,3
4180,#weallwin,3
3520,#lagosschools,3
4218,#webdesign,3
5418,#russiaisateroriststate,3
699,#hodlive,3
697,#rccghodlive,3
668,#votenotfight,3
3428,#inverter,3
4073,#savings,3
2016,#sdg7,3
4269,#lp,3
7901,#healthinsurance,3
3559,#afiatv,3
4394,#automation,3
5199,#rentention,3
5749,#tweetoftheday,3
2380,#stillgreenat62,3
5656,#independance,3
5658,#mewaruniversity,3
2397,#solarpower,3
2543,#enjin,3
2019,#trade,3
5731,#ngx,3
619,#owambe,3
2242,#bauchiforpeterobi,3
610,#promoted,3
13,#bolaahmedtinubu,3
5,#goandcollectyourpvc,3
3939,#happynigerianindependenceday,3
3548,#pride,3
4402,#nigerianwedding,3
584,#entertainment,3
6639,#luxurylifestyle,3
587,#fun,3
814,#4millionmatch4peterobi,3
3426,#cohfahitech,3
2226,#powertothepeople,3
3488,#glounlimited,3
2224,#rebuild,3
3153,#longlivenigeria,3
592,#operanewshub,3
596,#bbn2022,3
3598,#black,3
37,#asuustrikeupdate,3
7262,#medical,3
6525,#viewpointph,3
2246,#omonaijiria,3
6530,#nasfatcares,3
2192,#asaba,3
3395,#ilovenigeria,3
9179,#keyamo,3
6633,#votelp,3
5120,#naijaindependenceday,3
6412,#financialliteracy,3
6529,#nasfatheld,3
2245,#aclarioncall,3
5228,#financialindependence,3
626,#legitng,3
4579,#nigerianheroes,2
1613,#ktbffh,2
4253,#nigeriansinuk,2
7609,#newinternetmarketingschool,2
6154,#logistic,2
7604,#uptober,2
1622,#shotontecno,2
1666,#sundayfunday,2
1623,#buyletlive,2
7607,#nims,2
2548,#giantsofafrica,2
1628,#gameit9ja,2
4219,#webdevelopment,2
6149,#powersector,2
1683,#nigeriaourcountry,2
5489,#shortgown,2
4578,#culturechangers,2
1689,#network,2
2297,#salute,2
1661,#newgoals,2
3850,#dozzy,2
1603,#pulsesportsnigeria,2
5486,#alayostitches,2
2258,#agritech,2
1690,#indipendence,2
3840,#blacktwitter,2
1686,#vigouryouthsnetwork,2
4018,#fashionblogger,2
2228,#hero,2
5384,#africangiant,2
2289,#sierraleone,2
4582,#nigeriabirthday,2
6135,#acceleration,2
1687,#vigour,2
1631,#hangin9ja,2
1654,#hopeful,2
1632,#teachfornigeria,2
2523,#senegal,2
6457,#9japlayers,2
2241,#onlinepharmacy,2
2277,#bringingenergytoliferesponsibly,2
1642,#independencedaydesign,2
7807,#togetherat62,2
1674,#friendship,2
4596,#nftgiveaways,2
1648,#centriculture,2
1669,#breastcancerawarenessmonth,2
48,#obipendence,2
8001,#sports,2
1670,#ntic,2
6153,#segun,2
5487,#whitedress,2
6439,#nigeriashallbegreatagain,2
2272,#bornthisway,2
1646,#africafirst,2
1641,#funfact,2
1649,#getnigeriaworking,2
6626,#cryptonews,2
7608,#nimschool,2
2233,#fully,2
8402,#wearethestructure,2
2542,#dizzyduckz,2
2789,#cooking,2
4024,#stayhealthy,2
1651,#tht,2
2546,#fireboy,2
6150,#naturalgas,2
6151,#cng,2
1676,#gain,2
6152,#cartrackernigeria,2
7808,#20,2
4249,#enactusng,2
1638,#polycarp,2
4225,#proud,2
7818,#challenges,2
8028,#birthdaygirl,2
4236,#guitar,2
2663,#designers,2
4049,#womenintech,2
4702,#beepmagnet,2
1471,#amapiano,2
2399,#wotsrapleague,2
185,#alaoakalagra,2
4088,#rhythmfm,2
184,#rayfieldgardenscityestate,2
4700,#biffyrider,2
6575,#webdesigner,2
1477,#grateful,2
1481,#sanlamnigeria,2
6071,#hospitality,2
4695,#paymentsolutions,2
4694,#paymentgateway,2
14,#sowore,2
1485,#nigeriasday,2
2460,#izzyfather,2
2861,#last,2
3362,#cleannigeria,2
8501,#happy_independence_day,2
4143,#changethenarrative,2
4691,#everychildmatters,2
1492,#edomega,2
7925,#westfieldnigeria,2
1493,#investinedo,2
1494,#businesstips,2
1497,#businessideas,2
1500,#9ja62,2
4150,#carsforsale,2
6081,#whereverpeoplebuild,2
2373,#dumebihascome,2
2404,#naijacelebrity,2
187,#fendinihomes,2
6480,#sunugroup,2
1468,#ongod,2
4106,#seo,2
8539,#thankasoldier,2
1431,#peterisbetter,2
2884,#epe,2
8537,#sajaikumar,2
2430,#blender3d,2
3361,#cleaningcompany,2
3784,#revolutionnow,2
7884,#nigeriatop100,2
6554,#zenithchain,2
1442,#emilokan,2
2876,#bettarapp,2
4102,#strategicmanagement,2
4101,#datainformatics,2
2874,#bestschoolinnigeria,2
3792,#saturdayvibes,2
4116,#programming,2
2420,#lagosrealestate,2
2419,#realestatelagos,2
7547,#accanigeria,2
1454,#giveawayalert,2
1455,#2millionkids,2
6064,#wellness,2
4708,#bbnoriginalowanbe,2
2411,#vanguardreport,2
1463,#life,2
8515,#techskill,2
4703,#deliveryservice,2
1467,#beirut,2
2372,#dk23,2
1507,#ngosinnigeria,2
1508,#koko,2
2851,#networking,2
7129,#citizens,2
6500,#stem,2
1560,#onlineshopping,2
4177,#moorebr,2
1564,#nicosloane,2
2487,#lovenigeria,2
6111,#burkinafaso,2
2824,#駐日ナイジェリア大使,2
6497,#sportybet,2
6598,#globalgoals,2
2783,#tweet,2
2336,#realcelestian,2
7962,#kano,2
2823,#駐日ナイジェリア大使館,2
2332,#lagosfashion,2
4637,#writer,2
5496,#lekkilagos,2
2331,#fashionaccessories,2
4185,#rmk,2
2329,#africarising,2
6121,#floki,2
2326,#mmemberville,2
1589,#post,2
6604,#businesses,2
2318,#designchallenge,2
33,#ahsf,2
4623,#startimescares,2
2501,#nanta,2
2309,#nongovernmentalorganization,2
4649,#procuebrand,2
3823,#python,2
7841,#bonnyisland,2
6512,#tcniganmu,2
1511,#prepared,2
1513,#empathyspaceng,2
6587,#tasty,2
2473,#tiv,2
1514,#trendingvideos,2
7169,#caregivers,2
2849,#ipfriends,2
2474,#tivpeople,2
7565,#web3,2
6807,#naijanodeycarrylast,2
2839,#cards,2
2838,#gifts,2
3365,#lagosrealtors,2
4164,#nigerianspirit,2
4654,#madeinnaija,2
4165,#unionbank,2
1537,#nigerianfood,2
1538,#seadafrica,2
2356,#rema,2
1540,#rise,2
1541,#international,2
8465,#bringingchange,2
8464,#simpleisbetter,2
8463,#moneymattersmadesimple,2
8462,#moneyexchange,2
4166,#yoursimplersmarterbank,2
8461,#alfardanexchange,2
4655,#figma,2
1571,#growth,2
1730,#brandingafrica,2
2781,#thelandisgreen,2
2690,#ourworld,2
2621,#marshallmuze,2
2076,#1stofoctober,2
6348,#theplatform,2
7680,#aayc,2
81,#spices,2
6265,#batnf,2
7682,#towardsabettetnigeria,2
2625,#infibranches,2
2626,#omnibranches,2
2627,#nef,2
7683,#nigeriadaispora,2
7684,#nigeriashallbegreat,2
3918,#dobusinessbetter,2
7143,#popgisttv,2
4446,#fgn,2
2079,#icaoa41,2
5416,#naira,2
6342,#zinarifinance,2
2062,#newmediareporter,2
2061,#thatfemaledesigner,2
2060,#imostate,2
2689,#idlng,2
7730,#digitalnigeria,2
8147,#youfirst,2
1921,#learningisfun,2
3920,#smallbusinesses,2
1923,#blessings,2
6684,#sudoafrica,2
1925,#nigeriareferendum,2
4441,#fsyusuf,2
2700,#posterdesign,2
6724,#aha,2
1701,#itpaystopayyourtax,2
2709,#borno,2
4480,#events,2
8269,#pledge,2
4325,#digitalagencyinlagos,2
1866,#creative,2
6733,#mutualtrustmfb,2
1871,#lawyers,2
5402,#bryann,2
2111,#eaglesquare,2
